,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Position,Floor No.,Weather,Occupancy_Classified
182,1829.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
183,1829.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
184,1830.0,41.0,60.0,62.0,25.8,13.9,3,2.0,4,2
185,1831.0,41.0,59.0,62.0,25.9,13.9,3,2.0,4,2
186,1832.0,40.0,58.0,61.0,25.9,13.9,3,2.0,4,2
187,1833.0,41.0,59.0,62.0,25.9,13.9,3,2.0,4,2
188,1834.0,41.0,59.0,62.0,25.9,13.9,3,2.0,4,2
189,1834.0,40.0,58.0,61.0,25.9,13.9,3,2.0,4,2
190,1836.0,39.0,59.0,61.0,25.9,14.0,3,2.0,4,2
191,1839.0,39.0,58.0,61.0,26.0,13.9,3,2.0,4,2
192,1842.0,39.0,58.0,61.0,26.0,13.9,3,2.0,4,2
193,1844.0,38.0,58.0,61.0,26.0,13.9,3,2.0,4,2
194,1847.0,38.0,58.0,61.0,26.0,14.0,3,2.0,4,2
195,1850.0,38.0,58.0,61.0,26.0,14.0,3,2.0,4,2
196,1852.0,38.0,58.0,61.0,26.0,14.0,3,2.0,4,2
197,1854.0,38.0,58.0,61.0,26.0,13.9,3,2.0,4,2
198,1854.0,37.0,58.0,61.0,26.0,13.9,3,2.0,4,2
199,1855.0,38.0,59.0,63.0,26.0,13.9,3,2.0,4,2
200,1855.0,38.0,60.0,64.0,26.0,13.9,3,2.0,4,2
201,1855.0,38.0,60.0,63.0,26.0,13.9,3,2.0,4,2
202,1854.0,38.0,60.0,64.0,26.0,13.9,3,2.0,4,2
203,1855.0,39.0,61.0,65.0,26.0,13.9,3,2.0,4,2
204,1855.0,40.0,59.0,64.0,26.0,13.9,3,2.0,4,2
205,1855.0,41.0,60.0,64.0,26.0,14.0,3,2.0,4,2
206,1856.0,38.0,59.0,63.0,26.0,14.0,3,2.0,4,2
207,1857.0,39.0,60.0,63.0,26.0,14.0,3,2.0,4,2
208,1858.0,38.0,59.0,62.0,26.0,14.0,3,2.0,4,2
209,1859.0,38.0,59.0,62.0,26.1,14.0,3,2.0,4,2
210,1861.0,39.0,60.0,63.0,26.1,14.1,3,2.0,4,2
211,1864.0,39.0,60.0,63.0,26.1,14.1,3,2.0,4,2
212,1868.0,39.0,59.0,64.0,26.1,14.1,3,2.0,4,2
213,1873.0,38.0,58.0,63.0,26.2,14.1,3,2.0,4,2
214,1877.0,40.0,58.0,63.0,26.2,14.1,3,2.0,4,2
215,1882.0,40.0,57.0,63.0,26.2,14.1,3,2.0,4,2
216,1885.0,38.0,57.0,63.0,26.2,14.1,3,2.0,4,2
217,1889.0,38.0,57.0,63.0,26.2,14.1,3,2.0,4,2
218,1891.0,39.0,58.0,64.0,26.2,14.1,3,2.0,4,2
219,1894.0,38.0,57.0,63.0,26.3,14.1,3,2.0,4,2
220,1896.0,38.0,57.0,62.0,26.3,14.1,3,2.0,4,2
221,1898.0,38.0,57.0,62.0,26.3,14.1,3,2.0,4,2
222,1899.0,39.0,58.0,63.0,26.2,14.1,3,2.0,4,2
223,1899.0,37.0,57.0,62.0,26.2,14.1,3,2.0,4,2
224,1899.0,37.0,57.0,62.0,26.2,14.1,3,2.0,4,2
225,1899.0,38.0,58.0,63.0,26.2,14.1,3,2.0,4,2
226,1899.0,37.0,57.0,62.0,26.2,14.1,3,2.0,4,2
227,1899.0,38.0,58.0,63.0,26.2,14.1,3,2.0,4,2
228,1899.0,38.0,58.0,64.0,26.2,14.1,3,2.0,4,2
229,1897.0,38.0,58.0,64.0,26.2,14.1,3,2.0,4,2
230,1895.0,38.0,58.0,65.0,26.1,14.1,3,2.0,4,2
231,1892.0,38.0,58.0,66.0,26.2,14.1,3,2.0,4,2
232,1888.0,38.0,58.0,66.0,26.2,14.0,3,2.0,4,2
233,1884.0,38.0,59.0,66.0,26.1,14.0,3,2.0,4,2
234,1881.0,39.0,59.0,66.0,26.1,14.0,3,2.0,4,2
235,1878.0,37.0,57.0,64.0,26.1,14.0,3,2.0,4,2
236,1875.0,37.0,57.0,63.0,26.1,14.0,3,2.0,4,2
237,1873.0,37.0,56.0,62.0,26.0,14.0,3,2.0,4,2
238,1871.0,37.0,56.0,62.0,26.0,14.0,3,2.0,4,2
239,1871.0,37.0,56.0,62.0,26.1,14.0,3,2.0,4,2
240,1871.0,37.0,56.0,61.0,26.0,14.0,3,2.0,4,2
241,1871.0,37.0,56.0,61.0,26.0,14.0,3,2.0,4,2
242,1871.0,37.0,56.0,60.0,26.0,14.0,3,2.0,4,2
243,1870.0,37.0,56.0,60.0,26.0,13.9,3,2.0,4,2
244,1870.0,37.0,56.0,60.0,26.0,14.0,3,2.0,4,2
245,1870.0,38.0,56.0,60.0,26.0,13.9,3,2.0,4,2
246,1870.0,38.0,56.0,60.0,25.9,13.9,3,2.0,4,2
247,1871.0,39.0,57.0,61.0,26.0,13.9,3,2.0,4,2
248,1871.0,39.0,58.0,61.0,25.9,13.9,3,2.0,4,2
249,1872.0,41.0,59.0,61.0,25.9,13.9,3,2.0,4,2
250,1873.0,40.0,59.0,61.0,25.9,13.9,3,2.0,4,2
251,1873.0,41.0,60.0,62.0,25.9,13.9,3,2.0,4,2
