,CO2 (ppm),PM1 (ug/m3),PM2.5 (ug/m3),PM10 (ug/m3),Temperature (C),Humidity (%),Sound (dB),Position,Floor No.,Weather,Occupancy_Classified
158,1805.0,40.0,58.0,63.0,25.7,13.8,77.8,middle,2.0,sunny,2
159,1805.0,40.0,58.0,62.0,25.7,13.9,72.8,middle,2.0,sunny,2
160,1805.0,40.0,59.0,63.0,25.7,13.8,71.0,middle,2.0,sunny,2
161,1806.0,40.0,59.0,63.0,25.7,13.8,68.6,middle,2.0,sunny,2
162,1806.0,40.0,59.0,63.0,25.7,13.8,77.1,middle,2.0,sunny,2
163,1805.0,40.0,59.0,63.0,25.7,13.8,74.3,middle,2.0,sunny,2
164,1805.0,40.0,59.0,64.0,25.7,13.9,69.0,middle,2.0,sunny,2
165,1806.0,40.0,59.0,64.0,25.7,13.8,71.3,middle,2.0,sunny,2
166,1807.0,40.0,59.0,63.0,25.7,13.9,80.2,middle,2.0,sunny,2
167,1808.0,40.0,59.0,63.0,25.7,13.9,75.7,middle,2.0,sunny,2
168,1809.0,40.0,59.0,63.0,25.7,13.9,71.5,middle,2.0,sunny,2
169,1810.0,40.0,59.0,62.0,25.7,13.9,77.2,middle,2.0,sunny,2
170,1812.0,40.0,59.0,62.0,25.8,13.9,77.1,middle,2.0,sunny,2
171,1814.0,40.0,59.0,62.0,25.8,13.9,71.8,middle,2.0,sunny,2
172,1816.0,42.0,60.0,63.0,25.8,13.9,76.8,middle,2.0,sunny,2
173,1818.0,42.0,60.0,63.0,25.8,13.9,77.4,middle,2.0,sunny,2
174,1820.0,41.0,59.0,62.0,25.8,13.9,71.5,middle,2.0,sunny,2
175,1822.0,41.0,59.0,62.0,25.8,13.9,75.5,middle,2.0,sunny,2
176,1823.0,41.0,59.0,62.0,25.8,13.9,73.5,middle,2.0,sunny,2
177,1824.0,41.0,59.0,62.0,25.8,13.9,75.8,middle,2.0,sunny,2
178,1825.0,41.0,59.0,62.0,25.8,13.9,78.1,middle,2.0,sunny,2
179,1826.0,42.0,61.0,63.0,25.8,13.9,74.8,middle,2.0,sunny,2
180,1827.0,41.0,60.0,62.0,25.8,13.9,71.9,middle,2.0,sunny,2
181,1828.0,41.0,60.0,62.0,25.8,13.9,74.9,middle,2.0,sunny,2
182,1829.0,41.0,60.0,62.0,25.8,13.9,72.5,middle,2.0,sunny,2
183,1829.0,41.0,60.0,62.0,25.8,13.9,71.3,middle,2.0,sunny,2
184,1830.0,41.0,60.0,62.0,25.8,13.9,69.6,middle,2.0,sunny,2
185,1831.0,41.0,59.0,62.0,25.9,13.9,72.4,middle,2.0,sunny,2
186,1832.0,40.0,58.0,61.0,25.9,13.9,73.8,middle,2.0,sunny,2
187,1833.0,41.0,59.0,62.0,25.9,13.9,69.9,middle,2.0,sunny,2
188,1834.0,41.0,59.0,62.0,25.9,13.9,73.0,middle,2.0,sunny,2
189,1834.0,40.0,58.0,61.0,25.9,13.9,79.9,middle,2.0,sunny,2
190,1836.0,39.0,59.0,61.0,25.9,14.0,75.9,middle,2.0,sunny,2
191,1839.0,39.0,58.0,61.0,26.0,13.9,74.2,middle,2.0,sunny,2
192,1842.0,39.0,58.0,61.0,26.0,13.9,77.0,middle,2.0,sunny,2
193,1844.0,38.0,58.0,61.0,26.0,13.9,68.9,middle,2.0,sunny,2
194,1847.0,38.0,58.0,61.0,26.0,14.0,72.2,middle,2.0,sunny,2
195,1850.0,38.0,58.0,61.0,26.0,14.0,79.1,middle,2.0,sunny,2
196,1852.0,38.0,58.0,61.0,26.0,14.0,69.0,middle,2.0,sunny,2
197,1854.0,38.0,58.0,61.0,26.0,13.9,74.9,middle,2.0,sunny,2
198,1854.0,37.0,58.0,61.0,26.0,13.9,72.4,middle,2.0,sunny,2
199,1855.0,38.0,59.0,63.0,26.0,13.9,76.2,middle,2.0,sunny,2
200,1855.0,38.0,60.0,64.0,26.0,13.9,71.4,middle,2.0,sunny,2
201,1855.0,38.0,60.0,63.0,26.0,13.9,75.5,middle,2.0,sunny,2
202,1854.0,38.0,60.0,64.0,26.0,13.9,69.5,middle,2.0,sunny,2
203,1855.0,39.0,61.0,65.0,26.0,13.9,79.0,middle,2.0,sunny,2
204,1855.0,40.0,59.0,64.0,26.0,13.9,77.9,middle,2.0,sunny,2
205,1855.0,41.0,60.0,64.0,26.0,14.0,72.2,middle,2.0,sunny,2
206,1856.0,38.0,59.0,63.0,26.0,14.0,70.9,middle,2.0,sunny,2
207,1857.0,39.0,60.0,63.0,26.0,14.0,68.5,middle,2.0,sunny,2
208,1858.0,38.0,59.0,62.0,26.0,14.0,72.8,middle,2.0,sunny,2
209,1859.0,38.0,59.0,62.0,26.1,14.0,70.8,middle,2.0,sunny,2
210,1861.0,39.0,60.0,63.0,26.1,14.1,71.5,middle,2.0,sunny,2
211,1864.0,39.0,60.0,63.0,26.1,14.1,76.0,middle,2.0,sunny,2
212,1868.0,39.0,59.0,64.0,26.1,14.1,80.3,middle,2.0,sunny,2
213,1873.0,38.0,58.0,63.0,26.2,14.1,72.5,middle,2.0,sunny,2
214,1877.0,40.0,58.0,63.0,26.2,14.1,78.2,middle,2.0,sunny,2
215,1882.0,40.0,57.0,63.0,26.2,14.1,77.8,middle,2.0,sunny,2
216,1885.0,38.0,57.0,63.0,26.2,14.1,70.0,middle,2.0,sunny,2
217,1889.0,38.0,57.0,63.0,26.2,14.1,70.8,middle,2.0,sunny,2
218,1891.0,39.0,58.0,64.0,26.2,14.1,76.4,middle,2.0,sunny,2
219,1894.0,38.0,57.0,63.0,26.3,14.1,72.9,middle,2.0,sunny,2
220,1896.0,38.0,57.0,62.0,26.3,14.1,74.4,middle,2.0,sunny,2
